"","month","SettlementPoint","year","AvgPrice"
"123",3,"HB_HUBAVG",2018,22.4034320323015
"124",3,"HB_HUBAVG",2019,27.1890309555855
"125",3,"HB_NORTH",2016,16.8593674293405
"126",3,"HB_NORTH",2017,21.2277792732167
"127",3,"HB_NORTH",2018,22.6080080753701
"128",3,"HB_NORTH",2019,28.1037146702557
"129",3,"HB_SOUTH",2016,16.7631090174966
"130",3,"HB_SOUTH",2017,23.6807537012113
"131",3,"HB_SOUTH",2018,22.8884522207268
"132",3,"HB_SOUTH",2019,27.1355585464334
"133",3,"HB_WEST",2016,15.871668909825
"134",3,"HB_WEST",2017,19.8135935397039
"135",3,"HB_WEST",2018,20.3336204576043
"136",3,"HB_WEST",2019,25.6696769851952
"137",3,"LZ_AEN",2016,16.8550740242261
"138",3,"LZ_AEN",2017,22.9970121130552
"139",3,"LZ_AEN",2018,22.2028263795424
"140",3,"LZ_AEN",2019,27.7421803499327
"141",3,"LZ_CPS",2016,16.8981830417227
"142",3,"LZ_CPS",2017,23.8615477792732
"143",3,"LZ_CPS",2018,25.2892732166891
"144",3,"LZ_CPS",2019,29.3516958277254
"145",3,"LZ_HOUSTON",2016,17.2067294751009
"146",3,"LZ_HOUSTON",2017,28.7420053835801
"147",3,"LZ_HOUSTON",2018,23.9334589502019
"148",3,"LZ_HOUSTON",2019,28.0803230148048
"149",3,"LZ_LCRA",2016,16.7962987886945
"150",3,"LZ_LCRA",2017,23.437133243607
"151",3,"LZ_LCRA",2018,22.0513055181696
"152",3,"LZ_LCRA",2019,27.6493135935397
"153",3,"LZ_NORTH",2016,17.4615074024226
"154",3,"LZ_NORTH",2017,21.8394078061911
"155",3,"LZ_NORTH",2018,22.6405518169583
"156",3,"LZ_NORTH",2019,28.5940376850606
"157",3,"LZ_RAYBN",2016,17.1172409152086
"158",3,"LZ_RAYBN",2017,21.9071601615074
"159",3,"LZ_RAYBN",2018,23.8057065948856
"160",3,"LZ_RAYBN",2019,29.809798115747
"161",3,"LZ_SOUTH",2016,19.5211440107672
"162",3,"LZ_SOUTH",2017,26.5282099596232
"163",3,"LZ_SOUTH",2018,26.7599730820996
"164",3,"LZ_SOUTH",2019,30.5294885598923
"165",3,"LZ_WEST",2016,16.0026514131898
"166",3,"LZ_WEST",2017,20.251197846568
"167",3,"LZ_WEST",2018,22.3016285329744
"168",3,"LZ_WEST",2019,31.2829609690444
"169",4,"HB_BUSAVG",2016,18.2893472222222
"170",4,"HB_BUSAVG",2017,23.7050833333333
"171",4,"HB_BUSAVG",2018,23.1429583333333
"172",4,"HB_BUSAVG",2019,22.6131805555556
"173",4,"HB_HOUSTON",2016,18.9409583333333
"174",4,"HB_HOUSTON",2017,32.2957361111111
"175",4,"HB_HOUSTON",2018,24.6526944444444
"176",4,"HB_HOUSTON",2019,23.8706527777778
"177",4,"HB_HUBAVG",2016,18.1668611111111
"178",4,"HB_HUBAVG",2017,24.8304861111111
"179",4,"HB_HUBAVG",2018,22.4503055555556
"180",4,"HB_HUBAVG",2019,22.2211666666667
"181",4,"HB_NORTH",2016,18.3506666666667
"182",4,"HB_NORTH",2017,21.4105555555556
"183",4,"HB_NORTH",2018,23.5229166666667
"184",4,"HB_NORTH",2019,22.9974027777778
"185",4,"HB_PAN",2019,16.5487666666667
"186",4,"HB_SOUTH",2016,18.5129027777778
"187",4,"HB_SOUTH",2017,25.6094027777778
"188",4,"HB_SOUTH",2018,24.4718888888889
