"","SettlementPoint","year","HourlyVolatility"
"222","HB_WEST",2019,0.861645805204633
"223","HB_BUSAVG",2016,0.18522727821968
"224","HB_BUSAVG",2017,0.134820717261067
"225","HB_BUSAVG",2018,0.0918738620016598
"226","HB_BUSAVG",2019,0.344399732990839
"227","HB_HOUSTON",2016,0.222751349486423
"228","HB_HOUSTON",2017,0.244248213148998
"229","HB_HOUSTON",2018,0.0942392081395399
"230","HB_HOUSTON",2019,0.309241162774388
"231","HB_HUBAVG",2016,0.194076629457717
"232","HB_HUBAVG",2017,0.150827861082289
"233","HB_HUBAVG",2018,0.092222697340266
"234","HB_HUBAVG",2019,0.355889003881636
"235","HB_NORTH",2016,0.170622272491553
"236","HB_NORTH",2017,0.115155330861065
"237","HB_NORTH",2018,0.0960321999188271
"238","HB_NORTH",2019,0.361741725396619
"239","HB_PAN",2019,1.38144581187757
"240","HB_SOUTH",2016,0.20052510080896
"241","HB_SOUTH",2017,0.134041914363005
"242","HB_SOUTH",2018,0.0795997990737154
"243","HB_SOUTH",2019,0.280927720128544
"244","HB_WEST",2016,0.195164864344601
"245","HB_WEST",2017,0.122511500775578
"246","HB_WEST",2018,0.12900813309712
"247","HB_WEST",2019,1.25300477566552
"248","HB_BUSAVG",2016,0.153909212837813
"249","HB_BUSAVG",2017,0.122225341360755
"250","HB_BUSAVG",2018,0.111138477453628
"251","HB_BUSAVG",2019,0.18554469550889
"252","HB_HOUSTON",2016,0.16554768598159
"253","HB_HOUSTON",2017,0.134076556904151
"254","HB_HOUSTON",2018,0.109169453938881
"255","HB_HOUSTON",2019,0.170336212511231
"256","HB_HUBAVG",2016,0.156628176621527
"257","HB_HUBAVG",2017,0.126855983186608
"258","HB_HUBAVG",2018,0.126478321079359
"259","HB_HUBAVG",2019,0.195518515105388
"260","HB_NORTH",2016,0.152632914686774
"261","HB_NORTH",2017,0.130163477872871
"262","HB_NORTH",2018,0.100715820272713
"263","HB_NORTH",2019,0.184581766310959
"264","HB_PAN",2019,0.901222719355874
"265","HB_SOUTH",2016,0.156773094898721
"266","HB_SOUTH",2017,0.110906436899745
"267","HB_SOUTH",2018,0.107766216731264
"268","HB_SOUTH",2019,0.163949605723823
"269","HB_WEST",2016,0.179696652667061
"270","HB_WEST",2017,0.301110683672219
"271","HB_WEST",2018,0.381408914333609
"272","HB_WEST",2019,0.474784537652772
"273","HB_BUSAVG",2016,0.184720781251825
"274","HB_BUSAVG",2017,0.0591623213315555
"275","HB_BUSAVG",2018,0.0988272528961463
"276","HB_BUSAVG",2019,0.102628308841919
"277","HB_HOUSTON",2016,0.180033297797469
"278","HB_HOUSTON",2017,0.0543702762158524
"279","HB_HOUSTON",2018,0.094237420601497
"280","HB_HOUSTON",2019,0.100853046669272
"281","HB_HUBAVG",2016,0.19608017602865
"282","HB_HUBAVG",2017,0.0680955619208463
"283","HB_HUBAVG",2018,0.106627305761398
"284","HB_HUBAVG",2019,0.105734774503821
"285","HB_NORTH",2016,0.1738572737594
"286","HB_NORTH",2017,0.0521618119632847
"287","HB_NORTH",2018,0.0917148639002754
"288","HB_NORTH",2019,0.101953028054074
"289","HB_PAN",2019,0.700311029546912
"290","HB_SOUTH",2016,0.18854713226587
"291","HB_SOUTH",2017,0.0633878165008012
"292","HB_SOUTH",2018,0.106636359045505
"293","HB_SOUTH",2019,0.0979764475655032
"294","HB_WEST",2016,0.327037871806006
"295","HB_WEST",2017,0.187310526046484
"296","HB_WEST",2018,0.233733670422366
"297","HB_WEST",2019,0.140792434072643
